action,cqid,target_cqid,cluster
review,adfd273a-4dd6-430c-85ca-e9f0947a5d12,5ef640c6-25ab-45ad-b851-4306e161c2ce,4
review,3d5c0895-b636-4c34-b23b-f9b2f707a63d,3eef5ce3-0382-42a9-bd60-000701e6e0df,9
review,dbe39248-f94d-42e8-b0d5-b2224e2b5967,8e9140f5-8d21-4dd1-b7e2-0dfb904444ef,30
review,dbe39248-f94d-42e8-b0d5-b2224e2b5967,1f9eeeb6-cce7-40d8-965f-70a8084cf55f,30
review,dbe39248-f94d-42e8-b0d5-b2224e2b5967,ba311604-1ec7-4753-b6d0-7c2acdc822cc,30
review,dbe39248-f94d-42e8-b0d5-b2224e2b5967,1cf0c0f8-3ff2-4ee6-9634-e29974674628,30
review,8e9140f5-8d21-4dd1-b7e2-0dfb904444ef,1f9eeeb6-cce7-40d8-965f-70a8084cf55f,30
review,8e9140f5-8d21-4dd1-b7e2-0dfb904444ef,ba311604-1ec7-4753-b6d0-7c2acdc822cc,30
review,8e9140f5-8d21-4dd1-b7e2-0dfb904444ef,1cf0c0f8-3ff2-4ee6-9634-e29974674628,30
review,1f9eeeb6-cce7-40d8-965f-70a8084cf55f,ba311604-1ec7-4753-b6d0-7c2acdc822cc,30
review,1f9eeeb6-cce7-40d8-965f-70a8084cf55f,1cf0c0f8-3ff2-4ee6-9634-e29974674628,30
review,ba311604-1ec7-4753-b6d0-7c2acdc822cc,1cf0c0f8-3ff2-4ee6-9634-e29974674628,30
review,4dfed03f-8c9a-4d7c-939c-b45be774d902,13b24d16-a509-4107-b736-a6d3a6adf90e,32
review,4dfed03f-8c9a-4d7c-939c-b45be774d902,b64bfe11-c8e2-4506-b4f8-a3ab116f05c1,32
review,4dfed03f-8c9a-4d7c-939c-b45be774d902,16333704-856b-4e28-9c75-a06c783c6947,32
review,13b24d16-a509-4107-b736-a6d3a6adf90e,b64bfe11-c8e2-4506-b4f8-a3ab116f05c1,32
review,13b24d16-a509-4107-b736-a6d3a6adf90e,16333704-856b-4e28-9c75-a06c783c6947,32
review,b64bfe11-c8e2-4506-b4f8-a3ab116f05c1,16333704-856b-4e28-9c75-a06c783c6947,32
review,9125768a-e2b0-4aa6-be64-6ca779d23584,b7b4d50a-778d-49af-a12c-dcc7e6baf615,39
review,ff9a0b4b-9e85-473b-84e0-522c936b188e,0fc838bd-ad2d-4caa-aa8c-85747c7a7dfa,40
review,e649b084-22c1-45bd-a78b-d9c9e9c9742c,abd442ff-2ec0-4d47-9b9a-a2dbb3dad218,42
review,e649b084-22c1-45bd-a78b-d9c9e9c9742c,545369b0-0ea4-451d-9f0d-5dab2856ae70,42
merge,abd442ff-2ec0-4d47-9b9a-a2dbb3dad218,545369b0-0ea4-451d-9f0d-5dab2856ae70,42
review,cfb2cdf4-9395-40fa-abba-2be42ae503c5,e0afafda-f2b9-456b-8ff3-36b7796668dd,43
review,cfb2cdf4-9395-40fa-abba-2be42ae503c5,94d4b70e-5823-4c42-a6b9-30514d284626,43
review,e0afafda-f2b9-456b-8ff3-36b7796668dd,94d4b70e-5823-4c42-a6b9-30514d284626,43
review,be16206a-697f-4f12-b5d8-cc1b8d25deb1,84748d08-2d85-420e-b54d-2f0c9613348a,49
review,be16206a-697f-4f12-b5d8-cc1b8d25deb1,13dfb0f2-86a9-4269-ad34-2ce1cccb1315,49
review,be16206a-697f-4f12-b5d8-cc1b8d25deb1,a2df0fd0-439a-4012-9a83-aa4cfb87c578,49
review,84748d08-2d85-420e-b54d-2f0c9613348a,13dfb0f2-86a9-4269-ad34-2ce1cccb1315,49
review,84748d08-2d85-420e-b54d-2f0c9613348a,a2df0fd0-439a-4012-9a83-aa4cfb87c578,49
review,13dfb0f2-86a9-4269-ad34-2ce1cccb1315,a2df0fd0-439a-4012-9a83-aa4cfb87c578,49
review,d54858a2-0336-4130-a83e-edc05729a4d9,fa542858-59dd-4fba-971a-73ac7829fb17,55
review,d54858a2-0336-4130-a83e-edc05729a4d9,d1d0356a-66b3-4ce6-a704-d235b8eefe2d,55
review,d54858a2-0336-4130-a83e-edc05729a4d9,0aef4301-da83-4323-bcba-a7386f3ff7d7,55
